block_index,block_timestamp,block_miner_id,tx_id,tx_timestamp,tx_type,tx_sender,tx_recipient,tx_amount,tx_energy,block_hash,block_previous_hash,block_nonce
0,1753184695.0558405,genesis,,,,,,,,00a0c15fca506230353c4f5a8452da5fdbc6b4c5ad25ea33da766d6de553d968,0,886
1,1753184805.068432,GRID-OP-01,21eed0258f184cc8ab97382ff638b9a1,1753184805.0681646,energy_delivery,GRID-OP-01,CON-12,0.1859025450123095,0.9164081311164509,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,00a0c15fca506230353c4f5a8452da5fdbc6b4c5ad25ea33da766d6de553d968,292
1,1753184805.068432,GRID-OP-01,23268eea91b84e1b847115b1515c64e4,1753184805.0681534,energy_payment,CON-12,PRO-05,0.1859025450123095,0.0,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,00a0c15fca506230353c4f5a8452da5fdbc6b4c5ad25ea33da766d6de553d968,292
2,1753184815.075867,GRID-OP-01,1b3cc40f30ce4fb7a5cfef36fe05e932,1753184815.075376,energy_payment,CON-17,PRO-06,0.021402224095855012,0.0,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,1d990f952b384f508c9b28583fc83959,1753184815.0753996,energy_delivery,GRID-OP-01,CON-01,0.1553474673291363,0.7456643767627211,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,23376b2b4f924d0db6e1503d811a6689,1753184815.0753965,energy_payment,CON-01,PRO-05,0.1553474673291363,0.0,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,24a3bda8abc6448fab4c29077e9e321d,1753184815.0754166,energy_delivery,GRID-OP-01,CON-16,0.1170760624565108,0.5610031814542571,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,28e22cf5f209452389b1eaef0fe224e3,1753184815.075384,energy_payment,CON-17,PRO-05,0.6613918236818238,0.0,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,358ee8c9cf654b148972225618bebb50,1753184815.0753531,energy_payment,CON-12,PRO-06,0.15012541855241793,0.0,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,58cf3e801c1e45a8a0ffdece628c66c6,1753184815.0754063,energy_delivery,GRID-OP-01,CON-01,0.14728892931470144,0.7057767079349151,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,7bdbed8c21ac436aba18b0eb34849d29,1753184815.0753796,energy_delivery,GRID-OP-01,CON-17,0.021402224095855012,0.10686676645279158,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,997a85dcbaa74fd7a91989defe6071e1,1753184815.0754108,energy_payment,CON-16,PRO-02,0.1170760624565108,0.0,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,b786e881f1f14635a26926192bb7dd53,1753184815.0753906,energy_delivery,GRID-OP-01,CON-17,0.6613918236818238,3.1746659954022225,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,bbaf36340e4f49e58af9ec25edf58b84,1753184815.0753682,energy_delivery,GRID-OP-01,CON-12,0.15012541855241793,0.7496145246968036,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
2,1753184815.075867,GRID-OP-01,cace839f40144e3297c392e3807fb56d,1753184815.0754035,energy_payment,CON-01,PRO-02,0.14728892931470144,0.0,00132c1fad72bc9f89ef47a1db11cb3f3e8d45dfc1ad07738a77c2f0da8f9612,00b70fbea4dcce4d9d0d654feb04081376007cefd82d86c23c4187beb755da71,70
